index,timestamp,rgb_file,depth_file
1416,1743437581.867879,images/frame_001416.png,depth/frame_001416.png
1417,1743437581.899051,images/frame_001417.png,depth/frame_001417.png
1418,1743437581.934774,images/frame_001418.png,depth/frame_001418.png
1419,1743437581.964973,images/frame_001419.png,depth/frame_001419.png
1420,1743437581.996929,images/frame_001420.png,depth/frame_001420.png
1421,1743437582.030103,images/frame_001421.png,depth/frame_001421.png
1422,1743437582.067852,images/frame_001422.png,depth/frame_001422.png
1423,1743437582.099351,images/frame_001423.png,depth/frame_001423.png
1424,1743437582.132006,images/frame_001424.png,depth/frame_001424.png
1425,1743437582.165092,images/frame_001425.png,depth/frame_001425.png
1426,1743437582.196429,images/frame_001426.png,depth/frame_001426.png
1427,1743437582.231358,images/frame_001427.png,depth/frame_001427.png
1428,1743437582.266664,images/frame_001428.png,depth/frame_001428.png
1429,1743437582.302029,images/frame_001429.png,depth/frame_001429.png
1430,1743437582.332942,images/frame_001430.png,depth/frame_001430.png
1431,1743437582.368625,images/frame_001431.png,depth/frame_001431.png
1432,1743437582.399595,images/frame_001432.png,depth/frame_001432.png
1433,1743437582.436317,images/frame_001433.png,depth/frame_001433.png
1434,1743437582.469654,images/frame_001434.png,depth/frame_001434.png
1435,1743437582.501187,images/frame_001435.png,depth/frame_001435.png
1436,1743437582.533018,images/frame_001436.png,depth/frame_001436.png
1437,1743437582.564251,images/frame_001437.png,depth/frame_001437.png
1438,1743437582.596387,images/frame_001438.png,depth/frame_001438.png
1439,1743437582.630898,images/frame_001439.png,depth/frame_001439.png
1440,1743437582.665551,images/frame_001440.png,depth/frame_001440.png
1441,1743437582.698621,images/frame_001441.png,depth/frame_001441.png
1442,1743437582.730738,images/frame_001442.png,depth/frame_001442.png
1443,1743437582.764244,images/frame_001443.png,depth/frame_001443.png
1444,1743437582.797600,images/frame_001444.png,depth/frame_001444.png
1445,1743437582.830816,images/frame_001445.png,depth/frame_001445.png
1446,1743437582.863290,images/frame_001446.png,depth/frame_001446.png
1447,1743437582.896865,images/frame_001447.png,depth/frame_001447.png
1448,1743437582.929969,images/frame_001448.png,depth/frame_001448.png
1449,1743437582.966676,images/frame_001449.png,depth/frame_001449.png
1450,1743437582.998823,images/frame_001450.png,depth/frame_001450.png
1451,1743437583.025223,images/frame_001451.png,depth/frame_001451.png
1452,1743437583.059257,images/frame_001452.png,depth/frame_001452.png
1453,1743437583.094541,images/frame_001453.png,depth/frame_001453.png
1454,1743437583.128119,images/frame_001454.png,depth/frame_001454.png
1455,1743437583.159574,images/frame_001455.png,depth/frame_001455.png
1456,1743437583.194227,images/frame_001456.png,depth/frame_001456.png
1457,1743437583.228464,images/frame_001457.png,depth/frame_001457.png
1458,1743437583.260569,images/frame_001458.png,depth/frame_001458.png
1459,1743437583.296049,images/frame_001459.png,depth/frame_001459.png
1460,1743437583.331225,images/frame_001460.png,depth/frame_001460.png
1461,1743437583.363492,images/frame_001461.png,depth/frame_001461.png
1462,1743437583.394287,images/frame_001462.png,depth/frame_001462.png
1463,1743437583.439753,images/frame_001463.png,depth/frame_001463.png
1464,1743437583.462197,images/frame_001464.png,depth/frame_001464.png
1465,1743437583.493792,images/frame_001465.png,depth/frame_001465.png
1466,1743437583.527590,images/frame_001466.png,depth/frame_001466.png
1467,1743437583.557110,images/frame_001467.png,depth/frame_001467.png
1468,1743437583.590776,images/frame_001468.png,depth/frame_001468.png
1469,1743437583.626648,images/frame_001469.png,depth/frame_001469.png
1470,1743437583.659548,images/frame_001470.png,depth/frame_001470.png
1471,1743437583.692570,images/frame_001471.png,depth/frame_001471.png
1472,1743437583.725467,images/frame_001472.png,depth/frame_001472.png
1473,1743437583.758469,images/frame_001473.png,depth/frame_001473.png
1474,1743437583.791194,images/frame_001474.png,depth/frame_001474.png
1475,1743437583.825828,images/frame_001475.png,depth/frame_001475.png
1476,1743437583.856781,images/frame_001476.png,depth/frame_001476.png
1477,1743437583.889894,images/frame_001477.png,depth/frame_001477.png
1478,1743437583.922239,images/frame_001478.png,depth/frame_001478.png
1479,1743437583.956607,images/frame_001479.png,depth/frame_001479.png
1480,1743437583.989302,images/frame_001480.png,depth/frame_001480.png
1481,1743437584.025577,images/frame_001481.png,depth/frame_001481.png
1482,1743437584.059566,images/frame_001482.png,depth/frame_001482.png
1483,1743437584.088165,images/frame_001483.png,depth/frame_001483.png
1484,1743437584.122662,images/frame_001484.png,depth/frame_001484.png
1485,1743437584.152733,images/frame_001485.png,depth/frame_001485.png
1486,1743437584.185575,images/frame_001486.png,depth/frame_001486.png
1487,1743437584.219299,images/frame_001487.png,depth/frame_001487.png
1488,1743437584.253302,images/frame_001488.png,depth/frame_001488.png
1489,1743437584.286585,images/frame_001489.png,depth/frame_001489.png
1490,1743437584.320692,images/frame_001490.png,depth/frame_001490.png
1491,1743437584.352345,images/frame_001491.png,depth/frame_001491.png
1492,1743437584.385798,images/frame_001492.png,depth/frame_001492.png
1493,1743437584.423090,images/frame_001493.png,depth/frame_001493.png
1494,1743437584.455226,images/frame_001494.png,depth/frame_001494.png
1495,1743437584.488394,images/frame_001495.png,depth/frame_001495.png
1496,1743437584.520395,images/frame_001496.png,depth/frame_001496.png
1497,1743437584.552458,images/frame_001497.png,depth/frame_001497.png
1498,1743437584.583452,images/frame_001498.png,depth/frame_001498.png
1499,1743437584.620021,images/frame_001499.png,depth/frame_001499.png
1500,1743437584.656105,images/frame_001500.png,depth/frame_001500.png
1501,1743437584.686659,images/frame_001501.png,depth/frame_001501.png
1502,1743437584.721329,images/frame_001502.png,depth/frame_001502.png
1503,1743437584.752057,images/frame_001503.png,depth/frame_001503.png
1504,1743437584.786278,images/frame_001504.png,depth/frame_001504.png
1505,1743437584.819136,images/frame_001505.png,depth/frame_001505.png
1506,1743437584.852906,images/frame_001506.png,depth/frame_001506.png
1507,1743437584.884991,images/frame_001507.png,depth/frame_001507.png
1508,1743437584.916644,images/frame_001508.png,depth/frame_001508.png
1509,1743437584.953281,images/frame_001509.png,depth/frame_001509.png
1510,1743437584.986042,images/frame_001510.png,depth/frame_001510.png
1511,1743437585.019305,images/frame_001511.png,depth/frame_001511.png
1512,1743437585.048320,images/frame_001512.png,depth/frame_001512.png
